"TestId","Test","Operation","Expected","Actual","Verdict","TimestampUtc","Detail"
"TC06","Create a Network Security Group","Microsoft.Network/networkSecurityGroups/write","Allowed","Allowed","PASS","2026-09-23T02:15:08",""
"TC03","Grant self Reader on the resource group","Microsoft.Authorization/roleAssignments/write","Denied","Denied","PASS","2026-09-23T02:15:08","Operation returned an invalid status code 'Forbidden'. AuthorizationFailed: The client '<UPN>' with object id '<GUID>' does not have authorization to perform action 'Microsoft.Authorization/roleAssignments/write' over scope '/subscriptions/<GUID>/resourceGroups/RG-IAMLab-Test/providers/Microsoft.Authorization/roleAssignments/<GUID>' or the scope is invalid. If access was recently granted, please refresh your credentials."
