"TestId","Test","Operation","Expected","Actual","Verdict","TimestampUtc","Detail"
"TC01","Write a Key Vault secret version","Microsoft.KeyVault/vaults/secrets/setSecret/action","Allowed","Allowed","PASS","2026-09-21T09:00:32",""
"TC02","Delete the Key Vault","Microsoft.KeyVault/vaults/delete","Denied","Denied","PASS","2026-09-21T09:00:33","The client '<UPN>' with object id '<GUID>' does not have authorization to perform action 'Microsoft.KeyVault/vaults/delete' over scope '/subscriptions/<GUID>/resourceGroups/RG-IAMLab-Test/providers/Microsoft.KeyVault/vaults/kv-iamlab-nlizqxov' or the scope is invalid. If access was recently granted, please refresh your credentials."
